sample-id	sex	hive	empo_1	empo_2	empo_3	origin	problem	tube_id	taxon_id	elevation	env_biome	infection	env_matter	life_stage	typesample	env_feature	env_package	sample_type	env_material	blocking_primer
ERR7420358	not applicable	BU40	Host-associated	Plant	Plant secretion	agricultural	Yes	S3.BU40.PB.DNA	1628154	81	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420359	not applicable	BU40	Free-living	Non-saline	Surface (non-saline)	agricultural	Yes	S3.BU40.S.DNA	1774230	81	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420360	female	BU41	Host-associated	Animal	Animal secretion	agricultural	Extension	S3.BU41.G.DNA	1202446	81	village biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420361	not applicable	BU41	Host-associated	Plant	Plant secretion	agricultural	Extension	S3.BU41.PB.DNA	1628154	81	village biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420362	not applicable	BU41	Free-living	Non-saline	Surface (non-saline)	agricultural	Extension	S3.BU41.S.DNA	1774230	81	village biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420363	not applicable	U119	Free-living	Non-saline	Aerosol (non-saline)	pristine	No	S3.U119.F.DNA	655179	5	temperate woodland biome	Chalk_brood	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420364	female	U119	Host-associated	Animal	Animal secretion	pristine	No	S3.U119.G.DNA	1202446	5	temperate woodland biome	Chalk_brood	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420365	not applicable	U119	Host-associated	Plant	Plant secretion	pristine	No	S3.U119.PB.DNA	1628154	5	temperate woodland biome	Chalk_brood	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420366	not applicable	U119	Free-living	Non-saline	Surface (non-saline)	pristine	No	S3.U119.S.DNA	1774230	5	temperate woodland biome	Chalk_brood	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420367	not applicable	U134	Free-living	Non-saline	Aerosol (non-saline)	pristine	Yes	S3.U134.F.DNA	655179	5	temperate woodland biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420368	female	U134	Host-associated	Animal	Animal secretion	pristine	Yes	S3.U134.G.DNA	1202446	5	temperate woodland biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420369	not applicable	U134	Host-associated	Plant	Plant secretion	pristine	Yes	S3.U134.PB.DNA	1628154	5	temperate woodland biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420370	not applicable	U134	Free-living	Non-saline	Surface (non-saline)	pristine	Yes	S3.U134.S.DNA	1774230	5	temperate woodland biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420371	not applicable	U143	Free-living	Non-saline	Aerosol (non-saline)	pristine	No	S3.U143.F.DNA	655179	5	temperate woodland biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
