sample-id	sex	hive	empo_1	empo_2	empo_3	origin	problem	tube_id	taxon_id	elevation	env_biome	infection	env_matter	life_stage	typesample	env_feature	env_package	sample_type	env_material	blocking_primer
ERR7420372	female	U143	Host-associated	Animal	Animal secretion	pristine	No	S3.U143.G.DNA	1202446	5	temperate woodland biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420373	not applicable	U143	Host-associated	Plant	Plant secretion	pristine	No	S3.U143.PB.DNA	1628154	5	temperate woodland biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420374	not applicable	U143	Free-living	Non-saline	Surface (non-saline)	pristine	No	S3.U143.S.DNA	1774230	5	temperate woodland biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420375	not applicable	U145	Free-living	Non-saline	Aerosol (non-saline)	pristine	No	S3.U145.F.DNA	655179	5	temperate woodland biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420376	female	U145	Host-associated	Animal	Animal secretion	pristine	No	S3.U145.G.DNA	1202446	5	temperate woodland biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420377	not applicable	U145	Host-associated	Plant	Plant secretion	pristine	No	S3.U145.PB.DNA	1628154	5	temperate woodland biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420378	not applicable	U145	Free-living	Non-saline	Surface (non-saline)	pristine	No	S3.U145.S.DNA	1774230	5	temperate woodland biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420379	not applicable	U153	Free-living	Non-saline	Aerosol (non-saline)	pristine	No	S3.U153.F.DNA	655179	5	temperate woodland biome	Chalk_brood	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420380	female	U153	Host-associated	Animal	Animal secretion	pristine	No	S3.U153.G.DNA	1202446	5	temperate woodland biome	Chalk_brood	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420381	not applicable	U153	Host-associated	Plant	Plant secretion	pristine	No	S3.U153.PB.DNA	1628154	5	temperate woodland biome	Chalk_brood	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420382	not applicable	U153	Free-living	Non-saline	Surface (non-saline)	pristine	No	S3.U153.S.DNA	1774230	5	temperate woodland biome	Chalk_brood	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420383	not applicable	U154	Free-living	Non-saline	Aerosol (non-saline)	pristine	No	S3.U154.F.DNA	655179	5	temperate woodland biome	Varroa	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420384	female	U154	Host-associated	Animal	Animal secretion	pristine	No	S3.U154.G.DNA	1202446	5	temperate woodland biome	Varroa	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420385	not applicable	U154	Host-associated	Plant	Plant secretion	pristine	No	S3.U154.PB.DNA	1628154	5	temperate woodland biome	Varroa	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420386	not applicable	U154	Free-living	Non-saline	Surface (non-saline)	pristine	No	S3.U154.S.DNA	1774230	5	temperate woodland biome	Varroa	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420387	not applicable	U180	Free-living	Non-saline	Aerosol (non-saline)	pristine	Yes	S3.U180.F.DNA	655179	5	temperate woodland biome	Varroa	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420388	female	U180	Host-associated	Animal	Animal secretion	pristine	Yes	S3.U180.G.DNA	1202446	5	temperate woodland biome	Varroa	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420389	not applicable	U180	Host-associated	Plant	Plant secretion	pristine	Yes	S3.U180.PB.DNA	1628154	5	temperate woodland biome	Varroa	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420390	not applicable	U180	Free-living	Non-saline	Surface (non-saline)	pristine	Yes	S3.U180.S.DNA	1774230	5	temperate woodland biome	Varroa	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420391	not applicable	U188	Free-living	Non-saline	Aerosol (non-saline)	pristine	No	S3.U188.F.DNA	655179	5	temperate woodland biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420392	female	U188	Host-associated	Animal	Animal secretion	pristine	No	S3.U188.G.DNA	1202446	5	temperate woodland biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420393	not applicable	U188	Host-associated	Plant	Plant secretion	pristine	No	S3.U188.PB.DNA	1628154	5	temperate woodland biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420394	not applicable	U188	Free-living	Non-saline	Surface (non-saline)	pristine	No	S3.U188.S.DNA	1774230	5	temperate woodland biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420395	not applicable	U28	Free-living	Non-saline	Aerosol (non-saline)	pristine	No	S3.U28.F.DNA	655179	5	temperate woodland biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420396	female	U28	Host-associated	Animal	Animal secretion	pristine	No	S3.U28.G.DNA	1202446	5	temperate woodland biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420397	not applicable	U28	Host-associated	Plant	Plant secretion	pristine	No	S3.U28.PB.DNA	1628154	5	temperate woodland biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420398	not applicable	U28	Free-living	Non-saline	Surface (non-saline)	pristine	No	S3.U28.S.DNA	1774230	5	temperate woodland biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
ERR7420399	not applicable	U88	Free-living	Non-saline	Aerosol (non-saline)	pristine	No	S3.U88.F.DNA	655179	5	temperate woodland biome	No	HiveInternalAir	not applicable	hive_air	insect-associated habitat	air	air	air	No
ERR7420400	female	U88	Host-associated	Animal	Animal secretion	pristine	No	S3.U88.G.DNA	1202446	5	temperate woodland biome	No	Gut	adult	worker_gut	insect-associated habitat	host-associated	insect gut	intestine environment	No
ERR7420401	not applicable	U88	Host-associated	Plant	Plant secretion	pristine	No	S3.U88.PB.DNA	1628154	5	temperate woodland biome	No	BeeBread	not applicable	beebread	insect-associated habitat	host-associated	beebread	organic material	Yes
ERR7420402	not applicable	U88	Free-living	Non-saline	Surface (non-saline)	pristine	No	S3.U88.S.DNA	1774230	5	temperate woodland biome	No	DirtHiveDoor	not applicable	hive_door	insect-associated habitat	host-associated	surface	organic material	No
